time_s,envelope
0.000000000000000000e+00,1.102213204445351424e+00
1.000000000000000000e+00,7.510886787228150396e-01
2.000000000000000000e+00,1.547122534989317844e+00
3.000000000000000000e+00,2.155735654387851419e+00
4.000000000000000000e+00,2.668641772613355112e+00
5.000000000000000000e+00,2.944081715401949850e+00
6.000000000000000000e+00,3.084782368739223735e+00
7.000000000000000000e+00,2.974430588705517131e+00
8.000000000000000000e+00,2.731860955972139404e+00
9.000000000000000000e+00,2.339908738112344899e+00
1.000000000000000000e+01,1.928731554140796334e+00
1.100000000000000000e+01,1.600259223500041239e+00
1.200000000000000000e+01,1.496337284853967775e+00
1.300000000000000000e+01,1.648260584823462382e+00
1.400000000000000000e+01,1.929648362356043201e+00
1.500000000000000000e+01,2.233818367435365104e+00
1.600000000000000000e+01,2.457084711835953339e+00
1.700000000000000000e+01,2.587625107239253541e+00
1.800000000000000000e+01,2.567486791045844097e+00
1.900000000000000000e+01,2.425231421052623570e+00
2.000000000000000000e+01,2.172144416785233734e+00
2.100000000000000000e+01,1.901193918836387109e+00
2.200000000000000000e+01,1.747588784325366129e+00
2.300000000000000000e+01,1.826695693761644756e+00
2.400000000000000000e+01,2.109459909879159323e+00
2.500000000000000000e+01,2.439035506652686536e+00
2.600000000000000000e+01,2.701498616149502485e+00
2.700000000000000000e+01,2.804702361515323261e+00
2.800000000000000000e+01,2.742738736081399953e+00
2.900000000000000000e+01,2.511074822538020168e+00
3.000000000000000000e+01,2.178508498604643684e+00
3.100000000000000000e+01,1.824308438573541302e+00
3.200000000000000000e+01,1.581477413037285951e+00
3.300000000000000000e+01,1.560853625320853366e+00
3.400000000000000000e+01,1.746892900663231885e+00
3.500000000000000000e+01,2.024641065018232045e+00
3.600000000000000000e+01,2.279540576813015473e+00
3.700000000000000000e+01,2.458865702220547345e+00
3.800000000000000000e+01,2.513644916157688591e+00
3.900000000000000000e+01,2.442889615228636568e+00
4.000000000000000000e+01,2.244507078815847656e+00
4.100000000000000000e+01,1.968760746268481077e+00
4.200000000000000000e+01,1.711096814419944989e+00
4.300000000000000000e+01,1.620272113302311690e+00
4.400000000000000000e+01,1.790582585269493432e+00
4.500000000000000000e+01,2.129834973094467010e+00
4.600000000000000000e+01,2.489322352494933721e+00
4.700000000000000000e+01,2.744706395897699824e+00
4.800000000000000000e+01,2.841132432508886030e+00
4.900000000000000000e+01,2.745709748173878140e+00
5.000000000000000000e+01,2.483912631250523972e+00
5.100000000000000000e+01,2.106315947748905071e+00
5.200000000000000000e+01,1.724492273322351332e+00
5.300000000000000000e+01,1.505657531959279982e+00
5.400000000000000000e+01,1.582378020146290920e+00
5.500000000000000000e+01,1.881796980746849979e+00
5.600000000000000000e+01,2.226170221402221649e+00
5.700000000000000000e+01,2.501226095444684550e+00
5.800000000000000000e+01,2.639656998167736468e+00
5.900000000000000000e+01,2.626473328406674579e+00
6.000000000000000000e+01,2.460537420731472746e+00
6.100000000000000000e+01,2.184828885887676986e+00
6.200000000000000000e+01,1.872725114941520275e+00
6.300000000000000000e+01,1.653701074327390552e+00
6.400000000000000000e+01,1.662358770745488545e+00
6.500000000000000000e+01,1.898937647247782134e+00
6.600000000000000000e+01,2.232282915408506430e+00
6.700000000000000000e+01,2.526024115945264548e+00
6.800000000000000000e+01,2.702866953867355537e+00
6.900000000000000000e+01,2.717410922432098364e+00
7.000000000000000000e+01,2.572320260870969655e+00
7.100000000000000000e+01,2.293993961863896924e+00
7.200000000000000000e+01,1.957129335106251533e+00
7.300000000000000000e+01,1.681650525675851604e+00
7.400000000000000000e+01,1.614754298384257103e+00
7.500000000000000000e+01,1.800769713175663256e+00
7.600000000000000000e+01,2.121130937724247101e+00
7.700000000000000000e+01,2.437919658371194398e+00
7.800000000000000000e+01,2.654500794700138666e+00
7.900000000000000000e+01,2.724935946052281732e+00
8.000000000000000000e+01,2.625762058860813486e+00
8.100000000000000000e+01,2.371681491245429374e+00
8.200000000000000000e+01,2.005934942144805166e+00
8.300000000000000000e+01,1.628553359980090987e+00
8.400000000000000000e+01,1.415830362577377377e+00
8.500000000000000000e+01,1.524799784696586835e+00
8.600000000000000000e+01,1.875130301643016972e+00
8.700000000000000000e+01,2.269417227574009654e+00
8.800000000000000000e+01,2.579085661499239457e+00
8.900000000000000000e+01,2.733917074195215680e+00
9.000000000000000000e+01,2.713204346166738112e+00
9.100000000000000000e+01,2.524448883111485742e+00
9.200000000000000000e+01,2.216774061263164342e+00
9.300000000000000000e+01,1.878114123944632619e+00
9.400000000000000000e+01,1.648615481012058126e+00
9.500000000000000000e+01,1.662165067748575087e+00
9.600000000000000000e+01,1.903180994319398245e+00
9.700000000000000000e+01,2.230142814500251092e+00
9.800000000000000000e+01,2.513477065837726343e+00
9.900000000000000000e+01,2.679748860226487839e+00
1.000000000000000000e+02,2.691476113213549404e+00
1.010000000000000000e+02,2.548894904536188388e+00
1.020000000000000000e+02,2.280536484630732108e+00
1.030000000000000000e+02,1.958765606199610376e+00
1.040000000000000000e+02,1.706187422577103208e+00
1.050000000000000000e+02,1.667772709312520085e+00
1.060000000000000000e+02,1.875663103019237443e+00
1.070000000000000000e+02,2.205528381415705841e+00
1.080000000000000000e+02,2.516897967618902054e+00
1.090000000000000000e+02,2.715717254645871659e+00
1.100000000000000000e+02,2.755272615155005322e+00
1.110000000000000000e+02,2.620690801900994238e+00
1.120000000000000000e+02,2.332271563560666561e+00
1.130000000000000000e+02,1.944496021460300206e+00
1.140000000000000000e+02,1.566113404301597845e+00
1.150000000000000000e+02,1.376084672258470976e+00
1.160000000000000000e+02,1.507414075242951901e+00
1.170000000000000000e+02,1.853497159105266245e+00
1.180000000000000000e+02,2.227730430197837119e+00
1.190000000000000000e+02,2.514405385330076736e+00
1.200000000000000000e+02,2.654386856138096995e+00
1.210000000000000000e+02,2.627341240280226309e+00
1.220000000000000000e+02,2.442530506648607158e+00
1.230000000000000000e+02,2.143645160828216323e+00
1.240000000000000000e+02,1.817217386126993794e+00
1.250000000000000000e+02,1.603732762059137285e+00
1.260000000000000000e+02,1.638820089136178826e+00
1.270000000000000000e+02,1.902301160443690797e+00
1.280000000000000000e+02,2.246731921861662595e+00
1.290000000000000000e+02,2.542912488100959489e+00
1.300000000000000000e+02,2.714656269549529100e+00
1.310000000000000000e+02,2.727157644593456443e+00
1.320000000000000000e+02,2.579622718967689465e+00
1.330000000000000000e+02,2.306105473881569612e+00
1.340000000000000000e+02,1.982532312206271019e+00
1.350000000000000000e+02,1.736898531071460416e+00
1.360000000000000000e+02,1.711764267159402664e+00
