time_s,amplitude
0.000000000000000000e+00,-1.423588427019481560e-03
1.000000000000000000e+00,1.739728969085926114e+00
2.000000000000000000e+00,1.638326820515337623e+00
3.000000000000000000e+00,1.554723374504940914e+00
4.000000000000000000e+00,1.429660484355302241e+00
5.000000000000000000e+00,1.289982234397023753e+00
6.000000000000000000e+00,1.063942949641047075e+00
7.000000000000000000e+00,-2.004199436747521990e+00
8.000000000000000000e+00,-1.952743275179334104e+00
9.000000000000000000e+00,-1.910395783147400106e+00
1.000000000000000000e+01,-1.819281807098225512e+00
1.100000000000000000e+01,-1.736409287645784616e+00
1.200000000000000000e+01,-1.661892557097181422e+00
1.300000000000000000e+01,-1.567125748478466862e+00
1.400000000000000000e+01,-1.464635762677601427e+00
1.500000000000000000e+01,-1.353102855529214832e+00
1.600000000000000000e+01,-1.141422289273535506e+00
1.700000000000000000e+01,1.980869567865651548e-01
1.800000000000000000e+01,1.965804800717517287e+00
1.900000000000000000e+01,1.912970014354289816e+00
2.000000000000000000e+01,1.832024361705747006e+00
2.100000000000000000e+01,1.769355775524682928e+00
2.200000000000000000e+01,1.679336725145580411e+00
2.300000000000000000e+01,1.598795549059498056e+00
2.400000000000000000e+01,1.497569371733453947e+00
2.500000000000000000e+01,1.377351732196047118e+00
2.600000000000000000e+01,1.211892432669044339e+00
2.700000000000000000e+01,8.296600924745053396e-01
2.800000000000000000e+01,-1.988504729224072287e+00
2.900000000000000000e+01,-1.917772743472841324e+00
3.000000000000000000e+01,-1.866348412570273396e+00
3.100000000000000000e+01,-1.789100906080747677e+00
3.200000000000000000e+01,-1.690810018276236004e+00
3.300000000000000000e+01,-1.624616405874118374e+00
3.400000000000000000e+01,-1.528631967624595855e+00
3.500000000000000000e+01,-1.417231069439291780e+00
3.600000000000000000e+01,-1.294420386107615339e+00
3.700000000000000000e+01,-1.027680017374630328e+00
3.800000000000000000e+01,1.986881590971746769e+00
3.900000000000000000e+01,1.955264300623232643e+00
4.000000000000000000e+01,1.898458020819895786e+00
4.100000000000000000e+01,1.806690398051462365e+00
4.200000000000000000e+01,1.754797492135635295e+00
4.300000000000000000e+01,1.644188210412596662e+00
4.400000000000000000e+01,1.552160005103297102e+00
4.500000000000000000e+01,1.463854069887319920e+00
4.600000000000000000e+01,1.318827559523414017e+00
4.700000000000000000e+01,1.124339280765622284e+00
4.800000000000000000e+01,-1.282897223354566574e+00
4.900000000000000000e+01,-1.975687044531745817e+00
5.000000000000000000e+01,-1.904716388432563967e+00
5.100000000000000000e+01,-1.835003192385860737e+00
5.200000000000000000e+01,-1.757009212773744666e+00
5.300000000000000000e+01,-1.674063144555943961e+00
5.400000000000000000e+01,-1.594409834032782358e+00
5.500000000000000000e+01,-1.504792386734781218e+00
5.600000000000000000e+01,-1.361206117105994151e+00
5.700000000000000000e+01,-1.174926429057791655e+00
5.800000000000000000e+01,-7.265032953251449044e-01
5.900000000000000000e+01,1.990519611574307346e+00
6.000000000000000000e+01,1.918202288300103087e+00
6.100000000000000000e+01,1.852694497998376599e+00
6.200000000000000000e+01,1.769932225862096864e+00
6.300000000000000000e+01,1.712739552618988803e+00
6.400000000000000000e+01,1.620151328458664164e+00
6.500000000000000000e+01,1.538273762400599098e+00
6.600000000000000000e+01,1.401366984585666886e+00
6.700000000000000000e+01,1.277232321369525359e+00
6.800000000000000000e+01,9.860838508439195849e-01
6.900000000000000000e+01,-2.009699928845191774e+00
7.000000000000000000e+01,-1.946499213944028028e+00
7.100000000000000000e+01,-1.882255737567737564e+00
7.200000000000000000e+01,-1.827197463983879500e+00
7.300000000000000000e+01,-1.724627285785273578e+00
7.400000000000000000e+01,-1.640878835225304977e+00
7.500000000000000000e+01,-1.543597885423458216e+00
7.600000000000000000e+01,-1.442111383834201011e+00
7.700000000000000000e+01,-1.308319518141909610e+00
7.800000000000000000e+01,-1.123351950534360322e+00
7.900000000000000000e+01,1.937799243071969046e+00
8.000000000000000000e+01,1.949707440360989752e+00
8.100000000000000000e+01,1.893914855304037914e+00
8.200000000000000000e+01,1.842256569674353583e+00
8.300000000000000000e+01,1.755134255786350073e+00
8.400000000000000000e+01,1.648684895268950124e+00
8.500000000000000000e+01,1.575984468954903406e+00
8.600000000000000000e+01,1.478509232097510839e+00
8.700000000000000000e+01,1.358134030960598926e+00
8.800000000000000000e+01,1.195775372232620981e+00
8.900000000000000000e+01,5.941746866375664515e-01
9.000000000000000000e+01,-1.971972007361213697e+00
9.100000000000000000e+01,-1.914542196345784708e+00
9.200000000000000000e+01,-1.852741673638031106e+00
9.300000000000000000e+01,-1.781611397503553240e+00
9.400000000000000000e+01,-1.695878097252371930e+00
9.500000000000000000e+01,-1.605079809192272000e+00
9.600000000000000000e+01,-1.501698341758276767e+00
9.700000000000000000e+01,-1.400779550591003675e+00
9.800000000000000000e+01,-1.246302771682763710e+00
9.900000000000000000e+01,-9.313347483689348172e-01
1.000000000000000000e+02,1.987974934849885411e+00
1.010000000000000000e+02,1.944872288807574900e+00
1.020000000000000000e+02,1.862969540693239168e+00
1.030000000000000000e+02,1.816552526854162020e+00
1.040000000000000000e+02,1.738892088310958206e+00
1.050000000000000000e+02,1.658229397199144417e+00
1.060000000000000000e+02,1.564015617176180095e+00
1.070000000000000000e+02,1.448250885225827789e+00
1.080000000000000000e+02,1.292169084470574658e+00
1.090000000000000000e+02,1.086547367838028411e+00
1.100000000000000000e+02,-2.001986766832723141e+00
1.110000000000000000e+02,-1.951345172636322900e+00
1.120000000000000000e+02,-1.892637098613857649e+00
1.130000000000000000e+02,-1.821149579341352798e+00
1.140000000000000000e+02,-1.744913546873552823e+00
1.150000000000000000e+02,-1.678466969331400716e+00
1.160000000000000000e+02,-1.571757079804399160e+00
1.170000000000000000e+02,-1.469885286835197702e+00
1.180000000000000000e+02,-1.350520854225524037e+00
1.190000000000000000e+02,-1.161372506862786924e+00
1.200000000000000000e+02,-3.030194836806397451e-01
1.210000000000000000e+02,1.965085503444093940e+00
1.220000000000000000e+02,1.926454105598425670e+00
1.230000000000000000e+02,1.854499138838910932e+00
1.240000000000000000e+02,1.782183010643579424e+00
1.250000000000000000e+02,1.703757886272337929e+00
1.260000000000000000e+02,1.614402525359472484e+00
1.270000000000000000e+02,1.508953828768420991e+00
1.280000000000000000e+02,1.384153554646388118e+00
1.290000000000000000e+02,1.239418964215533547e+00
1.300000000000000000e+02,8.941857020642911547e-01
1.310000000000000000e+02,-2.001014079941103141e+00
1.320000000000000000e+02,-1.914036367654617043e+00
1.330000000000000000e+02,-1.857100960921578503e+00
1.340000000000000000e+02,-1.797991419756688636e+00
1.350000000000000000e+02,-1.734347239214294234e+00
1.360000000000000000e+02,-1.643259744939580491e+00
1.370000000000000000e+02,-1.535836580942902430e+00
1.380000000000000000e+02,-1.432937011531193017e+00
1.390000000000000000e+02,-1.302688410213039827e+00
1.400000000000000000e+02,-1.051124732459405742e+00
1.410000000000000000e+02,2.010571020779756690e+00
1.420000000000000000e+02,1.947149409200825021e+00
1.430000000000000000e+02,1.873802380745624996e+00
1.440000000000000000e+02,1.820461948888558945e+00
1.450000000000000000e+02,1.732000656346214917e+00
1.460000000000000000e+02,1.659406518896477944e+00
1.470000000000000000e+02,1.582621808705657385e+00
1.480000000000000000e+02,1.478993873850950935e+00
1.490000000000000000e+02,1.336443084502281664e+00
1.500000000000000000e+02,1.117664745792251280e+00
1.510000000000000000e+02,-2.714048745280431274e-01
1.520000000000000000e+02,-1.979679847667126680e+00
1.530000000000000000e+02,-1.920538847071819655e+00
1.540000000000000000e+02,-1.831453239366602537e+00
1.550000000000000000e+02,-1.784709857528964827e+00
1.560000000000000000e+02,-1.680196586867843678e+00
1.570000000000000000e+02,-1.590976521984269088e+00
1.580000000000000000e+02,-1.495530733074442287e+00
1.590000000000000000e+02,-1.378941806858303254e+00
1.600000000000000000e+02,-1.219762323302034712e+00
1.610000000000000000e+02,-8.278445286399478409e-01
1.620000000000000000e+02,1.978473012580310941e+00
1.630000000000000000e+02,1.950268035841690839e+00
1.640000000000000000e+02,1.855689634159628287e+00
1.650000000000000000e+02,1.779881737664925190e+00
1.660000000000000000e+02,1.711394787650599048e+00
1.670000000000000000e+02,1.633690265267163433e+00
1.680000000000000000e+02,1.542957533649728763e+00
1.690000000000000000e+02,1.418420687234653643e+00
1.700000000000000000e+02,1.274274244295154013e+00
1.710000000000000000e+02,1.014257830479410094e+00
1.720000000000000000e+02,-2.010430260961618032e+00
1.730000000000000000e+02,-1.937558155544308436e+00
1.740000000000000000e+02,-1.881607026346257650e+00
1.750000000000000000e+02,-1.815150297354972464e+00
1.760000000000000000e+02,-1.734910741470655937e+00
1.770000000000000000e+02,-1.662622662759918102e+00
1.780000000000000000e+02,-1.584973470234869453e+00
1.790000000000000000e+02,-1.462386672525869846e+00
1.800000000000000000e+02,-1.355816943133946184e+00
1.810000000000000000e+02,-1.130013817089472461e+00
1.820000000000000000e+02,1.395358401257502878e+00
1.830000000000000000e+02,1.975384045193667504e+00
1.840000000000000000e+02,1.906737167501348473e+00
1.850000000000000000e+02,1.833702737313123388e+00
1.860000000000000000e+02,1.750008193679664092e+00
1.870000000000000000e+02,1.669818584523918625e+00
1.880000000000000000e+02,1.590623993838975903e+00
1.890000000000000000e+02,1.483397425757443377e+00
1.900000000000000000e+02,1.360728982595208025e+00
1.910000000000000000e+02,1.202634378854759767e+00
1.920000000000000000e+02,7.157355486851031401e-01
1.930000000000000000e+02,-2.002656746158479883e+00
1.940000000000000000e+02,-1.923692516473177960e+00
1.950000000000000000e+02,-1.864233405944144106e+00
1.960000000000000000e+02,-1.778138957108039264e+00
1.970000000000000000e+02,-1.693064569110894757e+00
1.980000000000000000e+02,-1.613285289893916730e+00
1.990000000000000000e+02,-1.520311317368530757e+00
2.000000000000000000e+02,-1.397202062579840698e+00
2.010000000000000000e+02,-1.272150408320037451e+00
2.020000000000000000e+02,-9.914556820595400444e-01
2.030000000000000000e+02,2.005024541088110013e+00
2.040000000000000000e+02,1.937268122914640234e+00
2.050000000000000000e+02,1.877145970544343845e+00
2.060000000000000000e+02,1.802029354711815134e+00
2.070000000000000000e+02,1.727850545029046003e+00
2.080000000000000000e+02,1.643746853982716249e+00
2.090000000000000000e+02,1.563139457193432502e+00
2.100000000000000000e+02,1.446483009823811283e+00
2.110000000000000000e+02,1.300686011732123504e+00
2.120000000000000000e+02,1.103234836580770484e+00
2.130000000000000000e+02,-1.958919399966787322e+00
2.140000000000000000e+02,-1.946166901919760717e+00
2.150000000000000000e+02,-1.892623210566253933e+00
2.160000000000000000e+02,-1.815090018870439303e+00
2.170000000000000000e+02,-1.753168947220033136e+00
2.180000000000000000e+02,-1.665029490829688097e+00
2.190000000000000000e+02,-1.577695444159483040e+00
2.200000000000000000e+02,-1.477833750794039780e+00
2.210000000000000000e+02,-1.376807901678852808e+00
2.220000000000000000e+02,-1.182819876766478373e+00
2.230000000000000000e+02,-5.547269949789418453e-01
2.240000000000000000e+02,1.979799890007550855e+00
2.250000000000000000e+02,1.928112657220584669e+00
2.260000000000000000e+02,1.844505885332495154e+00
2.270000000000000000e+02,1.774408037191003151e+00
2.280000000000000000e+02,1.706519081810103255e+00
2.290000000000000000e+02,1.599652861794626402e+00
2.300000000000000000e+02,1.533221396877198606e+00
2.310000000000000000e+02,1.398065390097227301e+00
2.320000000000000000e+02,1.261086878796042532e+00
2.330000000000000000e+02,9.359688432863061403e-01
2.340000000000000000e+02,-1.990904619706359790e+00
2.350000000000000000e+02,-1.940374759514982728e+00
2.360000000000000000e+02,-1.885762027654811046e+00
2.370000000000000000e+02,-1.804342072536886166e+00
2.380000000000000000e+02,-1.725418204381468090e+00
2.390000000000000000e+02,-1.636374921391197113e+00
2.400000000000000000e+02,-1.555804131218080366e+00
2.410000000000000000e+02,-1.433815139590012722e+00
2.420000000000000000e+02,-1.303869006304400058e+00
2.430000000000000000e+02,-1.099052442770176885e+00
2.440000000000000000e+02,2.021700289213233859e+00
2.450000000000000000e+02,1.966462353740091373e+00
2.460000000000000000e+02,1.887456585645972407e+00
2.470000000000000000e+02,1.820350052969808896e+00
2.480000000000000000e+02,1.743014340634603476e+00
2.490000000000000000e+02,1.671420870126327562e+00
2.500000000000000000e+02,1.571987959885665642e+00
2.510000000000000000e+02,1.482970103773496806e+00
2.520000000000000000e+02,1.346754450171816497e+00
2.530000000000000000e+02,1.153389736781595065e+00
