time_s,amplitude
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.719156751710111175e+00
2.000000000000000000e+00,1.635494201104277234e+00
3.000000000000000000e+00,1.541425254722375460e+00
4.000000000000000000e+00,1.431206702865776448e+00
5.000000000000000000e+00,1.290672542988324567e+00
6.000000000000000000e+00,1.056391144790267855e+00
7.000000000000000000e+00,-2.012455903232648335e+00
8.000000000000000000e+00,-1.951612583082320773e+00
9.000000000000000000e+00,-1.886717407200118934e+00
1.000000000000000000e+01,-1.817611312772160259e+00
1.100000000000000000e+01,-1.743263267320911858e+00
1.200000000000000000e+01,-1.662127558182030729e+00
1.300000000000000000e+01,-1.571687761273377948e+00
1.400000000000000000e+01,-1.467340690498265543e+00
1.500000000000000000e+01,-1.338752774090550490e+00
1.600000000000000000e+01,-1.150250460735383173e+00
1.700000000000000000e+01,2.038877734259678665e-01
1.800000000000000000e+01,1.970820453757013313e+00
1.900000000000000000e+01,1.907060481409714514e+00
2.000000000000000000e+01,1.839340524210275607e+00
2.100000000000000000e+01,1.766738220910967438e+00
2.200000000000000000e+01,1.687894680935738467e+00
2.300000000000000000e+01,1.600670808182528937e+00
2.400000000000000000e+01,1.501304234627803380e+00
2.500000000000000000e+01,1.381971441862636985e+00
2.600000000000000000e+01,1.220057093711088170e+00
2.700000000000000000e+01,8.301113254996393964e-01
2.800000000000000000e+01,-1.989718006987115428e+00
2.900000000000000000e+01,-1.927032271268066310e+00
3.000000000000000000e+01,-1.860610215607473750e+00
3.100000000000000000e+01,-1.789627937181207384e+00
3.200000000000000000e+01,-1.712883124145396563e+00
3.300000000000000000e+01,-1.628534624568859002e+00
3.400000000000000000e+01,-1.533459101901851085e+00
3.500000000000000000e+01,-1.421564409650355465e+00
3.600000000000000000e+01,-1.277377469165424939e+00
3.700000000000000000e+01,-1.025240936711140138e+00
3.800000000000000000e+01,2.008278628884588191e+00
3.900000000000000000e+01,1.946651074092792033e+00
4.000000000000000000e+01,1.881455176843519705e+00
4.100000000000000000e+01,1.811978246082454724e+00
4.200000000000000000e+01,1.737162712961149325e+00
4.300000000000000000e+01,1.655404288687649883e+00
4.400000000000000000e+01,1.564079346771587442e+00
4.500000000000000000e+01,1.458326750709814323e+00
4.600000000000000000e+01,1.326987369012070150e+00
4.700000000000000000e+01,1.129305749257904834e+00
4.800000000000000000e+01,-1.293759478987634326e+00
4.900000000000000000e+01,-1.965940291764964210e+00
5.000000000000000000e+01,-1.901895030253458074e+00
5.100000000000000000e+01,-1.833831050886483460e+00
5.200000000000000000e+01,-1.760794685437352847e+00
5.300000000000000000e+01,-1.681385091027726597e+00
5.400000000000000000e+01,-1.593374123686613908e+00
5.500000000000000000e+01,-1.492805323933206640e+00
5.600000000000000000e+01,-1.371306472868786708e+00
5.700000000000000000e+01,-1.203680032356533980e+00
5.800000000000000000e+01,-7.347064217612939707e-01
5.900000000000000000e+01,1.984913496514962405e+00
6.000000000000000000e+01,1.921958710293210748e+00
6.100000000000000000e+01,1.855215540984784806e+00
6.200000000000000000e+01,1.783828360333814755e+00
6.300000000000000000e+01,1.706566229850450256e+00
6.400000000000000000e+01,1.621509198936333274e+00
6.500000000000000000e+01,1.525394712832856214e+00
6.600000000000000000e+01,1.411736928559411020e+00
6.700000000000000000e+01,1.263588999993073170e+00
6.800000000000000000e+01,9.891834172100587574e-01
6.900000000000000000e+01,-2.003588757655931474e+00
7.000000000000000000e+01,-1.941668156167465575e+00
7.100000000000000000e+01,-1.876165900692033484e+00
7.200000000000000000e+01,-1.806314111007408574e+00
7.300000000000000000e+01,-1.731020505766763362e+00
7.400000000000000000e+01,-1.648621874751981187e+00
7.500000000000000000e+01,-1.556383579432220943e+00
7.600000000000000000e+01,-1.449164144027643708e+00
7.700000000000000000e+01,-1.314879291950207696e+00
7.800000000000000000e+01,-1.106566930176845931e+00
7.900000000000000000e+01,1.935968144396920998e+00
8.000000000000000000e+01,1.961039681243257338e+00
8.100000000000000000e+01,1.896705712413944145e+00
8.200000000000000000e+01,1.828290370682549959e+00
8.300000000000000000e+01,1.754812061355645048e+00
8.400000000000000000e+01,1.674821502984817467e+00
8.500000000000000000e+01,1.586000245256846908e+00
8.600000000000000000e+01,1.484184342161333436e+00
8.700000000000000000e+01,1.360390611247471293e+00
8.800000000000000000e+01,1.186395134179589972e+00
8.900000000000000000e+01,5.858068453782621088e-01
9.000000000000000000e+01,-1.980093492114414211e+00
9.100000000000000000e+01,-1.916865266077158125e+00
9.200000000000000000e+01,-1.849790596906344842e+00
9.300000000000000000e+01,-1.777994637458736538e+00
9.400000000000000000e+01,-1.700199247998758434e+00
9.500000000000000000e+01,-1.614419394667619967e+00
9.600000000000000000e+01,-1.517224680325382602e+00
9.700000000000000000e+01,-1.401715784665597431e+00
9.800000000000000000e+01,-1.249251029987002548e+00
