time_s,inst_freq_hz
1.000000000000000000e+00,-2.389774453954143507e-01
2.000000000000000000e+00,1.584219701569976324e-02
3.000000000000000000e+00,3.397557633380787756e-02
4.000000000000000000e+00,5.359378735764340485e-02
5.000000000000000000e+00,5.531834668143748718e-02
6.000000000000000000e+00,5.991838574195271216e-02
7.000000000000000000e+00,6.117588058586483774e-02
8.000000000000000000e+00,5.930629519711582559e-02
9.000000000000000000e+00,5.649561568401048617e-02
1.000000000000000000e+01,4.440347468274503939e-02
1.100000000000000000e+01,3.030582870289692116e-02
1.200000000000000000e+01,1.399593068357832606e-02
1.300000000000000000e+01,2.429856295677365607e-02
1.400000000000000000e+01,4.249368685744561031e-02
1.500000000000000000e+01,5.968685945138545862e-02
1.600000000000000000e+01,6.704386089736601162e-02
1.700000000000000000e+01,7.028273088812411751e-02
1.800000000000000000e+01,6.948986489804120925e-02
1.900000000000000000e+01,6.423089083077714034e-02
2.000000000000000000e+01,5.585565850825414264e-02
2.100000000000000000e+01,3.968407924312625928e-02
2.200000000000000000e+01,2.297746265776303559e-02
2.300000000000000000e+01,1.581789564097790465e-02
2.400000000000000000e+01,2.950608752903557258e-02
2.500000000000000000e+01,4.515219797040020272e-02
2.600000000000000000e+01,5.678552428101246025e-02
2.700000000000000000e+01,6.233389337856470175e-02
2.800000000000000000e+01,6.429055242112868829e-02
2.900000000000000000e+01,6.293940894301483513e-02
3.000000000000000000e+01,5.667213878493438522e-02
3.100000000000000000e+01,4.560872243747044613e-02
3.200000000000000000e+01,2.861314429146998364e-02
3.300000000000000000e+01,2.149283653512593095e-02
3.400000000000000000e+01,3.229134091954019570e-02
3.500000000000000000e+01,5.126288498704646007e-02
3.600000000000000000e+01,6.369942186333354961e-02
3.700000000000000000e+01,7.065011170937454676e-02
3.800000000000000000e+01,7.269229067450554138e-02
3.900000000000000000e+01,7.083784569349024784e-02
4.000000000000000000e+01,6.548224038281992565e-02
4.100000000000000000e+01,5.391023853817018124e-02
4.200000000000000000e+01,3.653745647893187620e-02
4.300000000000000000e+01,1.779599321896410680e-02
4.400000000000000000e+01,1.858453315442845991e-02
4.500000000000000000e+01,3.549706071503722776e-02
4.600000000000000000e+01,5.190340798653467203e-02
4.700000000000000000e+01,6.111571925932549054e-02
4.800000000000000000e+01,6.546952975510343664e-02
4.900000000000000000e+01,6.610290833099102814e-02
5.000000000000000000e+01,6.273535204497347750e-02
5.100000000000000000e+01,5.457779492008368177e-02
5.200000000000000000e+01,3.766026738080811842e-02
5.300000000000000000e+01,1.592598810320236882e-02
5.400000000000000000e+01,1.006208323530088759e-02
