frequency_hz,psd
0.000000000000000000e+00,2.022742592390650323e-07
3.906250000000000000e-03,1.246310013354792836e-05
7.812500000000000000e-03,3.122391855322440989e-04
1.171875000000000000e-02,4.290873660079322534e-03
1.562500000000000000e-02,8.214463010103222051e-02
1.953125000000000000e-02,8.625957744867626675e-02
2.343750000000000000e-02,8.937837199683157374e-02
2.734375000000000000e-02,6.329447300392663199e-03
3.125000000000000000e-02,4.485191100299714198e-03
3.515625000000000000e-02,9.021057719093160746e-03
3.906250000000000000e-02,5.393083806285986492e-02
4.296875000000000000e-02,3.453242310742186127e+00
4.687500000000000000e-02,5.757184615366365676e+01
5.078125000000000000e-02,4.647975856260568150e+01
5.468750000000000000e-02,1.235649813548183262e+00
5.859375000000000000e-02,3.857930844541221371e-02
6.250000000000000000e-02,2.799048753677603561e-03
6.640625000000000000e-02,9.368645356614090352e-04
7.031250000000000000e-02,1.414103285323218499e-03
7.421875000000000000e-02,1.705858103748037272e-02
7.812500000000000000e-02,9.393861322008249803e-02
8.203125000000000000e-02,3.065963791821582282e-02
8.593750000000000000e-02,8.076942430192959529e-03
8.984375000000000000e-02,1.310157162658890208e-03
9.375000000000000000e-02,1.530772245878786339e-05
9.765625000000000000e-02,4.926219824458727409e-05
1.015625000000000000e-01,1.088375582203765410e-04
1.054687500000000000e-01,6.342253778377045931e-03
1.093750000000000000e-01,1.042008968251919611e-02
1.132812500000000000e-01,3.694395917261982659e-02
1.171875000000000000e-01,4.869893796185481571e-02
1.210937500000000000e-01,2.882946191210390783e-03
1.250000000000000000e-01,4.610751016447491761e-04
1.289062500000000000e-01,9.343616346399812001e-05
1.328125000000000000e-01,7.549125509323962192e-04
1.367187500000000000e-01,3.425509224777543559e-03
1.406250000000000000e-01,5.702616975891411366e-01
1.445312500000000000e-01,4.860205039243441938e+00
1.484375000000000000e-01,2.524311976858435003e+00
1.523437500000000000e-01,3.189211663647450318e-02
1.562500000000000000e-01,1.464823031751550904e-03
1.601562500000000000e-01,5.250321900044019389e-05
1.640625000000000000e-01,6.619666691992402326e-06
1.679687500000000000e-01,1.925823536164695906e-06
1.718750000000000000e-01,8.350680351245520043e-07
1.757812500000000000e-01,4.303485687626069820e-07
1.796875000000000000e-01,2.388127451451515997e-07
1.835937500000000000e-01,1.451592588051147616e-07
1.875000000000000000e-01,9.269932881725520003e-08
1.914062500000000000e-01,6.178478760278173444e-08
1.953125000000000000e-01,4.261652460863016166e-08
1.992187500000000000e-01,3.023420935907811963e-08
2.031250000000000000e-01,2.195782032441939518e-08
2.070312500000000000e-01,1.626571368982082582e-08
2.109375000000000000e-01,1.225499210296976734e-08
2.148437500000000000e-01,9.369650844726502805e-09
2.187500000000000000e-01,7.256144800085654147e-09
2.226562500000000000e-01,5.683373106468734520e-09
2.265625000000000000e-01,4.496569147039255529e-09
2.304687500000000000e-01,3.589852810326377627e-09
2.343750000000000000e-01,2.889390914149718434e-09
2.382812500000000000e-01,2.342834331329335823e-09
2.421875000000000000e-01,1.912488549733985159e-09
2.460937500000000000e-01,1.570842146295022663e-09
2.500000000000000000e-01,1.297561906926188824e-09
2.539062500000000000e-01,1.077450193017135551e-09
2.578125000000000000e-01,8.990288508340018457e-10
2.617187500000000000e-01,7.535461222891593059e-10
2.656250000000000000e-01,6.342702793490727876e-10
2.695312500000000000e-01,5.359811717261735145e-10
2.734375000000000000e-01,4.546002379298015832e-10
2.773437500000000000e-01,3.869184567313200801e-10
2.812500000000000000e-01,3.303944775939468044e-10
2.851562500000000000e-01,2.830033367227980369e-10
2.890625000000000000e-01,2.431223021109939191e-10
2.929687500000000000e-01,2.094439813899513650e-10
2.968750000000000000e-01,1.809096951692304101e-10
3.007812500000000000e-01,1.566580789103215639e-10
3.046875000000000000e-01,1.359851466041144966e-10
3.085937500000000000e-01,1.183130834449862105e-10
3.125000000000000000e-01,1.031657163929133497e-10
3.164062500000000000e-01,9.014913245572663782e-11
3.203125000000000000e-01,7.893627942710141462e-11
3.242187500000000000e-01,6.925467817230000823e-11
3.281250000000000000e-01,6.087656586290071590e-11
3.320312500000000000e-01,5.361095865582368637e-11
3.359375000000000000e-01,4.729723155944472288e-11
3.398437500000000000e-01,4.179990414347612184e-11
3.437500000000000000e-01,3.700439018519061969e-11
3.476562500000000000e-01,3.281352051605176371e-11
3.515625000000000000e-01,2.914468748608524251e-11
3.554687500000000000e-01,2.592749309662228066e-11
3.593750000000000000e-01,2.310180499615071949e-11
3.632812500000000000e-01,2.061614509714448201e-11
3.671875000000000000e-01,1.842634962882597198e-11
3.710937500000000000e-01,1.649445199320779119e-11
3.750000000000000000e-01,1.478774863976132226e-11
3.789062500000000000e-01,1.327801601602694922e-11
3.828125000000000000e-01,1.194085247252709001e-11
3.867187500000000000e-01,1.075512383665742619e-11
3.906250000000000000e-01,9.702495218289283595e-12
3.945312500000000000e-01,8.767034784049632959e-12
3.984375000000000000e-01,7.934877649234563965e-12
4.023437500000000000e-01,7.193940227058941067e-12
4.062500000000000000e-01,6.533676950409272994e-12
4.101562500000000000e-01,5.944872688518368213e-12
4.140625000000000000e-01,5.419465291437004329e-12
4.179687500000000000e-01,4.950393654888858715e-12
4.218750000000000000e-01,4.531467383351730812e-12
4.257812500000000000e-01,4.157254843080196609e-12
4.296875000000000000e-01,3.822986876111494730e-12
4.335937500000000000e-01,3.524473843909719997e-12
4.375000000000000000e-01,3.258034129029361514e-12
4.414062500000000000e-01,3.020432414580011146e-12
4.453125000000000000e-01,2.808826397009752385e-12
4.492187500000000000e-01,2.620720742938442105e-12
4.531250000000000000e-01,2.453927317275476739e-12
4.570312500000000000e-01,2.306530841579420467e-12
4.609375000000000000e-01,2.176859262175154758e-12
4.648437500000000000e-01,2.063458246839692628e-12
4.687500000000000000e-01,1.965069280681417954e-12
4.726562500000000000e-01,1.880610935369549215e-12
4.765625000000000000e-01,1.809162952959144760e-12
4.804687500000000000e-01,1.749952835084261887e-12
4.843750000000000000e-01,1.702344685664967741e-12
4.882812500000000000e-01,1.665830093007392380e-12
4.921875000000000000e-01,1.640020896129806523e-12
4.960937500000000000e-01,1.624643677108382542e-12
5.000000000000000000e-01,1.619535911695657374e-12
